text,labels,privacy_level,has_pii,pii_type,variation_id
"Please note: I live at 123 Main Street, New York, NY 10001",['ADDRESS'],medium,1,ADDRESS,4
The system is running smoothly,[],low,0,none,11
It seems like looking forward to the results,[],low,0,none,1
Personal information: Contact: 5551234567,['PHONE'],medium,1,PHONE,3
"ADDRESS: 456 OAK AVENUE, LOS ANGELES, CA 90210",['ADDRESS'],medium,1,ADDRESS,2
"Just to clarify, my card number is 5555 4444 3333 2222",['CREDIT_CARD'],high,1,CREDIT_CARD,11
"During the meeting, my number is 555.123.4567",['PHONE'],medium,1,PHONE,10
I think let's schedule a team meeting,[],low,0,none,6
my medical record number is mr987654,['MEDICAL'],high,1,MEDICAL,1
The deadline is next Friday,[],low,0,none,6
Private: This is Dr. Michael Johnson,['PERSON'],low,1,PERSON,8
Confidential: License plate: ABC-123,['LICENSE_PLATE'],low,1,LICENSE_PLATE,7
Private: Credit card: 4532-1234-5678-9012,['CREDIT_CARD'],high,1,CREDIT_CARD,8
"Obviously, the presentation was excellent",[],low,0,none,1
Just wanted to say great job on the analysis,[],low,0,none,6
For your records: My email: user123@gmail.com,['EMAIL'],medium,1,EMAIL,9
Quick reminder that my birthday is 12/31/1995,['DOB'],medium,1,DOB,14
"As mentioned earlier, account: 1234567890",['ACCOUNT'],high,1,ACCOUNT,12
Please note: My name is John Smith,['PERSON'],low,1,PERSON,4
ss# 555-44-3333,['SSN'],high,1,SSN,1
"During the meeting, address: 456 oak avenue, los angeles, ca 90210",['ADDRESS'],medium,1,ADDRESS,10
I think good morning team,[],low,0,none,10
"Clearly, the weather is sunny today",[],low,0,none,14
"By the way, the quarterly report looks good",[],low,0,none,11
I think let's schedule a team meeting,[],low,0,none,11
I think the deadline is next friday,[],low,0,none,2
"Just to clarify, born on 01/15/1990",['DOB'],medium,1,DOB,11
"For reference, driver's license: dl123456789",['LICENSE'],medium,1,LICENSE,13
"Obviously, let's schedule a team meeting",[],low,0,none,4
It seems like looking forward to the results,[],low,0,none,11
"By the way, great job on the analysis",[],low,0,none,8
"Just to clarify, address: 456 oak avenue, los angeles, ca 90210",['ADDRESS'],medium,1,ADDRESS,11
For your records: Social Security: 987-65-4321,['SSN'],high,1,SSN,9
CREDIT CARD: 4532-1234-5678-9012,['CREDIT_CARD'],high,1,CREDIT_CARD,2
MY SSN IS 123-45-6789,['SSN'],high,1,SSN,2
I think the presentation was excellent,[],low,0,none,8
"For reference, i'm jane doe",['PERSON'],low,1,PERSON,13
"Obviously, the quarterly report looks good",[],low,0,none,4
It seems like have a wonderful evening,[],low,0,none,8
"Important: My home is 789 Pine Road, Unit 4B, Chicago IL 60601",['ADDRESS'],medium,1,ADDRESS,6
"By the way, looking forward to the results",[],low,0,none,8
Please note: Phone: +1-555-123-4567,['PHONE'],medium,1,PHONE,4
"Obviously, i appreciate your hard work",[],low,0,none,0
"By the way, let's schedule a team meeting",[],low,0,none,9
"During the meeting, call me at (555) 123-4567",['PHONE'],medium,1,PHONE,10
Please note: Patient ID: 12345,['MEDICAL'],high,1,MEDICAL,4
"By the way, this project is going well",[],low,0,none,11
"DOB: MARCH 25, 1985",['DOB'],medium,1,DOB,2
Please note: License plate: ABC-123,['LICENSE_PLATE'],low,1,LICENSE_PLATE,4
I think the quarterly report looks good,[],low,0,none,1
Remember: Patient ID: 12345,['MEDICAL'],high,1,MEDICAL,5
Private: Patient ID: 12345,['MEDICAL'],high,1,MEDICAL,8
social security: 987-65-4321,['SSN'],high,1,SSN,1
It seems like how has your day been?,[],low,0,none,13
"Clearly, please review the documentation",[],low,0,none,4
"Obviously, how has your day been?",[],low,0,none,7
