text,privacy_level,privacy_category
Please remember that legal documents contain sensitive data,2,high
"Just to clarify, community news updates",0,low
We should consider that biometric data requires special handling,2,high
It's important to note presentation scheduling,1,medium
"For the record, banking information must be protected",2,high
"For the record, travel destination ideas",0,low
"For the record, investment details are sensitive",2,high
Please remember that financial details require protection,2,high
We should consider that legal documents contain sensitive data,2,high
"Just to clarify, personal family information stays private",2,high
We should consider that health information is confidential,2,high
Resource allocation planning,1,medium
Public event announcements,0,low
"For the record, health information is confidential",2,high
We should consider that cooking recipes and tips,0,low
"Just to clarify, presentation scheduling",1,medium
Corporate trade secrets are protected,2,high
General business discussions,1,medium
"For the record, industry knowledge sharing",1,medium
"For the record, legal documents contain sensitive data",2,high
"For the record, customer payment information is secure",2,high
"For the record, book and movie reviews",0,low
Please remember that sports scores and highlights,0,low
We should consider that office phone number available,1,medium
Vendor contact information,1,medium
"Just to clarify, professional background details",1,medium
We should consider that banking information must be protected,2,high
Please remember that community news updates,0,low
"Just to clarify, technology trends discussion",0,low
Please remember that resource allocation planning,1,medium
We should consider that tax records are confidential,2,high
"Just to clarify, book and movie reviews",0,low
Investment details are sensitive,2,high
"For the record, resource allocation planning",1,medium
Please remember that weather forecast looks good,0,low
"For the record, public news and updates",0,low
Banking information must be protected,2,high
Please remember that presentation scheduling,1,medium
Please remember that general business discussions,1,medium
"Just to clarify, customer payment information is secure",2,high
Legal documents contain sensitive data,2,high
"For the record, biometric data requires special handling",2,high
"Just to clarify, project timeline information",1,medium
We should consider that book and movie reviews,0,low
"Just to clarify, technology trends discussion",0,low
Movie recommendations tonight,0,low
Customer payment information is secure,2,high
Training session feedback,1,medium
"For the record, performance metrics analysis",1,medium
It's important to note community news updates,0,low
We should consider that industry knowledge sharing,1,medium
We should consider that professional background details,1,medium
We should consider that vendor contact information,1,medium
"For the record, investment details are sensitive",2,high
"For the record, insurance information is private",2,high
"For the record, customer payment information is secure",2,high
"Just to clarify, health information is confidential",2,high
"Just to clarify, team member responsibilities",1,medium
Please remember that work email address for contact,1,medium
Please remember that vendor contact information,1,medium
"For the record, medical records are strictly private",2,high
It's important to note team member responsibilities,1,medium
We should consider that travel destination ideas,0,low
Industry knowledge sharing,1,medium
Customer payment information is secure,2,high
It's important to note employee personal data is confidential,2,high
We should consider that public news and updates,0,low
"Just to clarify, training session feedback",1,medium
Office phone number available,1,medium
"For the record, industry knowledge sharing",1,medium
Movie recommendations tonight,0,low
"For the record, presentation scheduling",1,medium
"For the record, community news updates",0,low
Please remember that work email address for contact,1,medium
"Just to clarify, health information is confidential",2,high
Entertainment discussions,0,low
"For the record, project timeline information",1,medium
"For the record, performance metrics analysis",1,medium
Please remember that legal documents contain sensitive data,2,high
Please remember that public news and updates,0,low
We should consider that resource allocation planning,1,medium
"Just to clarify, corporate trade secrets are protected",2,high
"Just to clarify, resource allocation planning",1,medium
"Just to clarify, legal documents contain sensitive data",2,high
It's important to note community news updates,0,low
Please remember that educational content sharing,0,low
Please remember that team member responsibilities,1,medium
Please remember that performance metrics analysis,1,medium
We should consider that customer payment information is secure,2,high
It's important to note conference call details,1,medium
"For the record, professional background details",1,medium
Vendor contact information,1,medium
We should consider that public event announcements,0,low
"For the record, public event announcements",0,low
Please remember that educational content sharing,0,low
"Just to clarify, team member responsibilities",1,medium
"Just to clarify, legal documents contain sensitive data",2,high
Employee personal data is confidential,2,high
"For the record, movie recommendations tonight",0,low
"Just to clarify, book and movie reviews",0,low
"Just to clarify, conference call details",1,medium
"For the record, meeting schedule coordination",1,medium
"For the record, training session feedback",1,medium
We should consider that office phone number available,1,medium
We should consider that general lifestyle advice,0,low
It's important to note biometric data requires special handling,2,high
"For the record, public news and updates",0,low
Customer payment information is secure,2,high
"For the record, book and movie reviews",0,low
Please remember that employee personal data is confidential,2,high
Please remember that hobby and interest topics,0,low
We should consider that general knowledge topics,0,low
Please remember that educational content sharing,0,low
"Just to clarify, performance metrics analysis",1,medium
"Just to clarify, community news updates",0,low
Technical specifications review,1,medium
Public event announcements,0,low
It's important to note general lifestyle advice,0,low
Personal family information stays private,2,high
We should consider that general lifestyle advice,0,low
Please remember that office phone number available,1,medium
